ID	LABEL	TYPE	SC %	SC HTO:0000061 some %	A IAO:0000115	A IAO:0000119	A rdfs:comment
ID	LABEL	TYPE	SC %	SC HTO:0000061 some %	A IAO:0000115	A IAO:0000119	A rdfs:comment
HTO:0000100	perceptual taste quality	owl:Class	PATO:0001241		A quality of a material entity that is realised when a human perceiver tastes that entity.	HTO:0000000
HTO:0000110	basic taste quality	owl:Class	HTO:0000100		A perceptual taste quality for which a dedicated class of human taste receptor and a dedicated transduction pathway are established.	HTO:0000000
HTO:0000111	sweetness	owl:Class	HTO:0000110	GO:0050916	The basic taste quality typically elicited by sucrose and other sugars, transduced by the TAS1R2 and TAS1R3 receptor pair.	HTO:0000000	PATO has no term for this quality as of 2026-09-17; proposed to PATO.
HTO:0000112	sourness	owl:Class	HTO:0000110	GO:0050915	The basic taste quality typically elicited by citric acid and other acids, transduced by proton-sensitive channels of taste receptor cells.	HTO:0000000	PATO has no term for this quality as of 2026-09-17; proposed to PATO.
HTO:0000113	saltiness	owl:Class	HTO:0000110	GO:0050914	The basic taste quality typically elicited by sodium chloride, transduced principally by the epithelial sodium channel.	HTO:0000000	PATO has no term for this quality as of 2026-09-17; proposed to PATO.
HTO:0000114	bitterness	owl:Class	HTO:0000110	GO:0050913	The basic taste quality typically elicited by quinine and by many plant alkaloids and glycosides, transduced by the TAS2R receptor family.	HTO:0000000	Mapped to PATO:0002474 by skos:exactMatch in mappings/hto-pato.sssom.tsv.
HTO:0000115	umami	owl:Class	HTO:0000110	GO:0050917	The basic taste quality typically elicited by L-glutamate and by certain ribonucleotides, transduced by the TAS1R1 and TAS1R3 receptor pair.	HTO:0000000	PATO has no term for this quality as of 2026-09-17; proposed to PATO.
HTO:0000120	candidate taste quality	owl:Class	HTO:0000100		A perceptual taste quality that has been proposed as basic but for which receptor or transduction evidence remains contested.	HTO:0000000	Grouped separately so that including these terms does not commit a user of HTO to the claim that they are basic tastes.
HTO:0000121	fattiness	owl:Class	HTO:0000120		The candidate taste quality elicited by non-esterified fatty acids, proposed under the name oleogustus and distinct from the texture of fat.	PMID:26142421
HTO:0000122	kokumi	owl:Class	HTO:0000120		The candidate taste quality described as mouthfulness, continuity and thickness, elicited by certain gamma-glutamyl peptides acting on the calcium-sensing receptor.	PMID:39890873
HTO:0000123	metallic taste	owl:Class	HTO:0000120		The candidate taste quality elicited by certain metal salts and reported as a side effect of some medications.	HTO:0000000
HTO:0000124	calcium taste	owl:Class	HTO:0000120		The candidate taste quality elicited by calcium salts, reported as chalky and somewhat bitter.	HTO:0000000
HTO:0000125	starchy taste	owl:Class	HTO:0000120		The candidate taste quality elicited by oligomeric glucose polymers independently of sweetness.	PMID:27553043
HTO:0000130	bitterness subtype	owl:Class	HTO:0000114		A bitterness distinguished by the chemical class of the compound that elicits it and, where known, by the receptor that detects it.	HTO:0000000
HTO:0000131	thiourea bitterness	owl:Class	HTO:0000130		The bitterness elicited by compounds bearing a thiourea group, notably phenylthiocarbamide and propylthiouracil, detected by TAS2R38.	PMID:12595690	The quality whose perception varies most sharply between people.
HTO:0000132	limonoid bitterness	owl:Class	HTO:0000130		The bitterness elicited by limonoid triterpenoids, notably limonin, which forms from a tasteless precursor after citrus fruit is juiced.	PMID:25615579
HTO:0000133	flavanone bitterness	owl:Class	HTO:0000130		The bitterness elicited by flavanone glycosides, notably naringin, characteristic of grapefruit and pomelo.	PMID:9250119
HTO:0000134	alkaloid bitterness	owl:Class	HTO:0000130		The bitterness elicited by plant alkaloids such as quinine and caffeine.	HTO:0000000
HTO:0000135	amino acid bitterness	owl:Class	HTO:0000130		The bitterness elicited by hydrophobic amino acids and by peptides rich in them, prominent in protein hydrolysates and aged cheese.	HTO:0000000
HTO:0000140	chemesthetic quality	owl:Class	HTO:0000100		A quality perceived in the mouth through the trigeminal nerve rather than through taste receptor cells, recorded alongside taste by sensory panels.	HTO:0000000	Not a taste sensu stricto. Included because panels record it and because astringency is central to citrus assessment.
HTO:0000141	astringency	owl:Class	HTO:0000140		The chemesthetic quality of drying, roughening and puckering in the mouth, elicited by tannins and other polyphenols binding salivary proteins.	PMID:27640622	CHEBI:74783 astringent exists but denotes a chemical role, not a perceptual quality.
HTO:0000142	pungency	owl:Class	HTO:0000140		The chemesthetic quality of burning or stinging, elicited by capsaicinoids, piperine and allyl isothiocyanate.	HTO:0000000
HTO:0000143	cooling sensation	owl:Class	HTO:0000140		The chemesthetic quality of coolness in the absence of a temperature change, elicited by menthol and related compounds.	HTO:0000000
HTO:0000144	tingling sensation	owl:Class	HTO:0000140		The chemesthetic quality of vibration or numbness, elicited by alkylamides such as sanshool.	HTO:0000000
HTO:0000145	carbonation bite	owl:Class	HTO:0000140		The chemesthetic quality elicited by dissolved carbon dioxide, mediated in part by carbonic anhydrase on trigeminal fibres.	HTO:0000000
HTO:0000150	temporal taste quality	owl:Class	HTO:0000100		A perceptual taste quality defined by when it appears or how long it persists relative to the stimulus entering the mouth.	HTO:0000000
HTO:0000151	taste onset latency	owl:Class	HTO:0000150		The temporal taste quality of how long after the stimulus enters the mouth a taste is first perceived.	HTO:0000000
HTO:0000152	aftertaste	owl:Class	HTO:0000150		The temporal taste quality of a taste that persists after the stimulus has been swallowed or expectorated.	SNOMEDCT:110365009	
HTO:0000153	lingering bitterness	owl:Class	HTO:0000152		An aftertaste that is bitter in quality.	HTO:0000000
HTO:0000154	delayed bitterness	owl:Class	HTO:0000152		A bitterness that is absent or weak when the stimulus is first tasted and appears or strengthens over subsequent minutes to hours.	PMID:25615579	Characteristic of citrus juice, where limonin forms after juicing.
HTO:0000155	taste adaptation	owl:Class	HTO:0000150		The temporal taste quality of a perceived intensity declining during continued exposure to an unchanging stimulus.	HTO:0000000
HTO:0000160	hedonic taste quality	owl:Class	HTO:0000100		A quality of a stimulus consisting in how much a perceiver likes or dislikes tasting it, as distinct from what they perceive.	HTO:0000000
HTO:0000161	palatability	owl:Class	HTO:0000160		The hedonic taste quality of being pleasant to taste for a given perceiver.	HTO:0000000
HTO:0000162	taste aversion	owl:Class	HTO:0000160		The hedonic taste quality of being unpleasant to taste for a given perceiver, whether innately or through learning.	HTO:0000000
